,local_AA,local_CA,global_AA,global_CA,blosum_dist
0,0.963,0.427,1.220,0.786,5.0
0,4.450,3.283,7.785,6.694,-4.0
0,3.299,1.069,3.944,1.655,-8.0
0,2.709,1.375,2.901,1.761,7.0
0,1.550,0.986,2.104,2.037,-6.0
0,3.314,1.715,4.066,2.779,-4.0
0,4.440,2.711,5.340,3.776,-10.75488750216347
0,5.644,3.744,7.884,5.883,-14.03677461028802
0,3.973,2.791,7.215,6.562,-5.0
0,4.249,2.563,4.785,3.418,-15.0
0,6.004,4.631,6.496,5.525,-5.0
0,2.852,1.663,3.281,2.420,-2.0
0,1.397,0.178,1.751,0.934,7.0
0,4.700,2.685,5.757,4.121,-4.754887502163469
0,3.621,2.205,4.272,3.658,-2.321928094887362
0,3.534,1.993,4.195,2.561,-5.0
0,4.363,2.816,5.130,3.891,-5.0
0,6.387,4.401,13.326,12.161,-10.0
0,5.087,3.451,6.394,4.792,-12.92481250360578
0,2.005,0.774,2.273,1.046,0.0
0,0.795,0.096,1.563,0.686,-5.0
0,3.785,2.589,4.049,3.271,-2.0
0,4.712,2.402,7.825,5.171,-8.422064766172813
0,2.294,0.319,2.600,1.127,6.0
0,4.490,3.051,5.203,4.677,-8.422064766172813
0,3.639,2.562,5.153,4.458,-9.287712379549449
0,5.684,3.852,12.398,11.795,-24.216021330461086
0,7.626,6.291,11.190,9.494,-6.0
0,3.362,2.545,4.451,4.354,-14.03677461028802
0,0.972,0.385,1.045,0.617,9.287712379549449
0,1.029,0.304,2.251,1.976,-4.0
0,1.405,1.068,2.025,1.956,0.0
0,1.412,0.637,1.982,1.429,0.0
0,5.146,3.330,8.673,6.523,-12.0
0,2.668,1.583,2.895,1.818,-23.21928094887362
0,5.662,4.391,7.779,6.850,-2.0
0,5.693,3.806,10.288,8.511,-8.0
0,4.176,2.367,6.003,5.394,-12.0
0,3.870,2.280,5.699,3.129,-7.924812503605781
0,4.051,2.246,4.519,2.566,-4.0
0,5.149,2.972,7.044,5.554,-7.754887502163468
0,3.105,1.763,3.774,2.577,-1.5849625007211563
0,1.606,0.916,1.996,1.791,9.509775004326938
0,6.656,4.277,8.137,6.501,-3.0
0,2.264,1.680,2.995,2.280,-3.0
0,3.770,2.470,4.271,3.691,-4.754887502163469
0,2.494,0.995,2.815,1.629,-4.754887502163469
0,0.935,0.250,1.316,1.024,-3.0
0,2.499,1.815,3.202,2.229,-12.0
0,2.707,1.325,3.298,1.870,0.0
0,3.250,2.626,5.313,4.203,-1.0
0,4.984,2.617,6.242,4.221,-7.924812503605781
0,2.094,0.835,2.665,1.676,-1.0
0,4.549,1.949,6.262,3.281,-1.0
0,3.511,2.462,4.083,3.158,-10.0
0,1.048,0.171,1.112,0.322,9.287712379549449
0,,,,,-6.0
0,3.111,1.275,3.690,2.714,-3.0
0,6.882,6.882,9.052,9.039,-14.0
0,4.690,1.415,4.896,1.828,-6.0
0,5.117,3.037,7.704,6.268,-3.0
0,0.573,0.349,0.728,0.536,0.0
0,1.781,0.797,1.857,0.928,10.339850002884624
0,5.643,3.372,10.389,9.667,-4.0
0,1.100,1.240,1.172,1.447,12.0
0,5.631,4.310,11.212,11.292,-18.575424759098897
0,1.361,0.338,1.402,0.447,7.0
0,5.175,3.571,6.341,5.072,-6.339850002884625
0,1.892,0.680,2.463,1.394,-3.0
0,5.659,2.380,6.308,4.263,-15.0
0,2.724,1.593,4.772,4.214,-9.509775004326938
0,1.779,0.680,4.577,2.758,4.0
0,5.208,2.518,8.710,7.739,-10.339850002884624
0,3.836,2.243,7.148,5.843,0.0
0,1.900,1.166,2.619,1.837,-6.339850002884625
0,1.970,0.687,2.794,1.468,6.0
0,1.113,0.073,1.756,0.987,7.0
0,1.943,0.844,2.698,2.223,-3.0
0,3.092,1.219,3.987,1.472,-10.0
0,4.936,2.741,6.882,4.951,-11.60964047443681
0,2.859,2.550,3.599,3.475,-5.0
0,1.984,1.270,5.134,4.044,-4.0
0,5.711,4.348,9.869,8.589,-6.0
0,5.416,3.687,7.941,5.076,-4.0
0,2.523,1.668,3.430,2.988,-4.0
0,4.361,2.251,4.824,3.059,-16.253496664211536
0,2.871,1.505,3.823,2.632,-2.0
0,1.705,0.840,2.356,2.035,-1.0
0,1.881,0.334,2.285,0.999,-3.0
0,3.203,1.472,4.207,3.033,-1.5849625007211563
0,2.434,1.544,2.970,1.955,-6.0
0,2.992,0.714,5.279,3.103,3.0
0,4.944,3.533,9.395,8.643,-16.609640474436812
0,4.053,2.375,4.694,3.177,-9.287712379549449
0,4.075,2.423,5.471,4.479,-6.965784284662087
0,2.931,1.651,5.527,3.775,-4.0
0,5.335,3.799,6.232,5.636,-4.0
0,5.368,3.354,7.514,6.001,-4.0
0,5.432,3.894,10.182,10.182,-8.0
0,1.048,0.488,1.384,1.092,16.253496664211536
0,4.408,3.174,5.277,4.680,-6.0
0,1.156,0.215,1.347,0.740,-3.0
0,5.181,3.189,5.667,4.800,-16.844129532345626
0,1.483,0.821,1.849,1.464,-11.094737505048094
0,4.717,1.164,5.763,3.272,6.0
0,3.332,2.542,4.406,4.145,-1.0
0,6.032,5.270,9.470,9.258,-6.339850002884625
0,2.847,2.112,4.488,3.987,-4.0
0,5.309,3.259,6.511,4.847,-3.0
0,1.814,0.873,2.079,1.684,-11.094737505048094
0,2.777,1.923,2.912,2.934,2.0
0,3.276,1.836,3.964,2.839,-2.0
0,3.099,2.594,5.280,5.776,-19.931568569324178
0,3.378,2.337,4.124,3.383,-10.339850002884624
0,1.703,1.218,2.694,3.037,-9.509775004326938
0,4.192,2.198,4.953,2.843,-5.0
0,5.271,2.897,8.307,8.173,-9.287712379549449
0,3.089,1.856,5.700,4.221,-6.339850002884625
0,9.096,7.290,11.468,10.683,-4.0
0,4.991,2.144,5.907,3.306,-6.965784284662087
0,1.567,0.982,2.424,2.343,22.18947501009619
0,1.155,0.090,2.122,2.218,6.0
0,4.447,2.312,6.551,4.446,-11.229419688230417
0,5.168,3.161,7.174,5.562,-6.0
0,4.972,2.245,5.097,2.714,-10.0
0,0.665,0.254,0.904,0.554,7.754887502163468
0,1.920,0.918,2.355,1.738,-11.229419688230417
0,2.421,1.235,5.068,4.325,-20.89735285398626
0,4.305,2.646,6.296,4.278,-4.0
0,3.989,2.383,4.619,3.055,-6.339850002884625
0,3.676,2.469,4.466,3.832,-8.422064766172813
0,0.729,0.244,0.824,0.553,11.094737505048094
0,2.845,1.277,4.153,2.817,-1.5849625007211563
0,1.346,0.407,2.569,2.524,-1.0
0,6.145,4.597,10.291,10.473,-16.609640474436812
0,5.187,2.921,7.643,4.734,-4.0
0,3.548,1.536,4.564,3.032,-4.0
0,4.484,3.970,5.507,5.059,-10.339850002884624
0,1.632,0.473,1.940,0.761,2.0
0,3.243,2.052,3.634,2.274,-13.931568569324174
0,1.321,0.334,1.519,0.985,-4.0
0,0.455,0.134,0.547,0.177,8.0
0,3.300,1.644,4.317,2.804,-8.0
0,6.074,3.379,7.941,6.372,-8.0
0,5.726,4.406,8.495,7.979,-5.0
0,3.708,2.624,3.965,3.336,-12.92481250360578
0,2.839,1.719,4.367,3.770,-4.0
0,6.177,3.632,7.093,5.171,-4.754887502163469
0,5.123,2.610,7.657,5.600,-5.0
0,5.123,3.132,9.012,6.365,-6.339850002884625
0,4.076,1.862,5.076,3.888,-4.754887502163469
0,0.814,0.350,1.053,0.782,2.0
0,,,,,-11.60964047443681
0,4.302,1.592,5.357,3.057,-3.0
0,5.633,4.974,8.013,8.079,-16.844129532345626
0,4.461,2.410,7.288,5.484,-9.287712379549449
0,2.252,1.469,2.788,2.078,11.094737505048094
0,3.426,2.286,3.628,2.717,-3.0
0,3.751,2.247,4.753,3.664,-4.0
0,0.981,0.206,1.308,0.799,7.924812503605781
0,3.646,1.793,4.953,3.298,0.0
0,5.715,3.924,6.072,4.615,-12.0
0,3.626,1.840,5.738,4.135,-5.0
0,3.478,2.027,6.909,6.106,-9.509775004326938
0,2.685,1.613,2.951,2.262,-9.287712379549449
0,0.804,0.360,1.067,0.572,8.0
0,2.048,1.138,2.086,1.336,-6.339850002884625
0,3.507,1.728,4.490,2.482,-13.931568569324174
